	City	Cloudiness	Country	Humidity	Lat	Lon	Max Temp	Wind Speed
429	Jinxiu	92	CN	97	24.09	109.99	52.27	2.55
430	Gore	0	NZ	70	-46.19	168.86	72.52	4.29
431	Takoradi	32	GH	100	4.89	-1.75	77.69	4.34
432	Shawville	92	CA	82	45.61	-76.49	13.39	5.35
433	Ribeira Grande	12	PT	100	38.52	-28.7	64.15	10.78
434	Lenger	90	KZ	75	42.18	69.89	44.6	6.71
435	Ayotzintepec	0	MX	76	17.67	-96.13	72.56	1.77
436	Dubah	0	YE	57	14.53	44.17	24.01	3.29
437	Monze	32	ZM	93	-16.28	27.48	67.84	2.55
438	Puerto Ayora	20	EC	69	-0.74	-90.35	77.0	9.17
439	Imperial Beach	40	US	34	32.58	-117.11	69.8	10.29
440	Southbridge	90	US	92	42.08	-72.03	32.0	5.82
441	Puerto Vallarta	90	MX	78	20.61	-105.23	78.8	6.93
442	Ixtapa	90	MX	78	20.71	-105.21	78.8	6.93
443	Palafrugell	0	ES	93	41.92	3.16	41.0	1.12
444	Salinopolis	88	BR	93	-0.61	-47.36	82.37	14.7
445	Ribnita	76	MD	94	47.78	29.0	32.29	11.34
446	Peruibe	64	BR	100	-24.32	-47.0	75.26	12.91
447	Palana	0	RU	68	59.08	159.95	6.91	4.41
448	Gannan	56	CN	57	47.92	123.49	-6.15	3.0
449	Saint Anthony	90	US	73	43.97	-111.68	28.4	3.36
450	Uttarkashi	0	IN	50	30.78	78.62	32.87	2.89
451	Sabancuy	12	MX	77	18.97	-91.18	84.49	9.6
452	Westport	92	IE	97	53.8	-9.52	50.92	13.85
453	Bambous Virieux	75	MU	83	-20.34	57.76	73.4	5.82
454	Mahebourg	75	MU	83	-20.41	57.7	73.4	5.82
455	Serut	12	ID	96	-8.09	111.9	72.83	5.53
456	Bahia Blanca	0	AR	39	-38.72	-62.27	77.69	17.72
457	Quatre Cocos	75	MU	83	-20.21	57.76	73.4	5.82
458	Santa Cruz De La Palma	0	ES	68	28.68	-17.76	66.2	6.93
459	Los Llanos De Aridane	0	ES	68	28.66	-17.92	66.2	6.93
460	Falam	0	MM	95	22.91	93.68	45.38	0.27
461	Basmat	56	IN	78	19.33	77.16	53.84	2.73
462	Thyrnau	75	DE	86	48.64	13.53	41.0	9.17
463	Warwick	90	US	100	41.7	-71.42	37.4	5.82
464	Predivinsk	88	RU	75	57.07	93.44	7.54	4.9
465	Bretten	88	DE	93	49.04	8.71	46.4	5.82
466	Beidao	80	CN	61	34.57	105.89	20.63	3.0
467	Haines Junction	0	CA	45	60.75	-137.51	-17.17	1.72
468	Camacha	40	PT	72	33.08	-16.33	62.6	12.75
469	Sao Joao Da Barra	76	BR	97	-21.64	-41.05	78.46	27.72
470	Vicosa Do Ceara	88	BR	90	-3.56	-41.09	72.47	3.22
471	Store Heddinge	88	DK	93	55.31	12.39	41.0	12.75
472	Paamiut	0	GL	100	61.99	-49.67	26.93	9.1
473	Port Hardy	20	CA	51	50.7	-127.42	39.2	12.75
474	Pitimbu	75	BR	88	-7.47	-34.81	75.2	10.29
475	Hobyo	88	SO	86	5.35	48.53	75.53	23.98
476	Conde	88	BR	95	-11.81	-37.61	76.79	10.56
477	Corn Island	56	NI	100	12.17	-83.04	81.16	15.64
478	Rio Gallegos	40	AR	34	-51.62	-69.22	51.8	25.28
479	Promyshlennyy	80	RU	94	67.55	63.78	23.24	12.68
480	Guiglo	0	CI	74	6.55	-7.5	66.67	2.21
481	Palmar Chico	64	MX	43	18.62	-100.35	76.75	2.1
482	Buchanan	20	LR	88	5.88	-10.05	71.6	4.63
483	Hambantota	20	LK	100	6.12	81.12	77.65	14.41
484	Mikun	12	RU	90	62.35	50.08	16.72	7.65
485	Plainview	75	US	80	34.18	-101.71	33.8	9.17
486	Hirado	75	JP	93	33.32	129.49	42.8	9.17
487	Ashland	0	US	47	37.17	-99.65	31.21	6.53
488	Pierre	20	US	72	44.37	-100.35	17.6	14.99
489	Patur	64	IN	86	20.46	76.94	53.71	2.51
490	Martapura	20	ID	94	-3.41	114.85	77.0	3.36
491	Pacasmayo	8	PE	95	-7.4	-79.57	65.05	16.71
492	Matougues	90	FR	93	48.95	4.24	46.4	4.7
493	Xiaxihao	48	CN	82	40.29	97.04	16.58	14.92
494	Vila Franca Do Campo	20	PT	77	37.72	-25.43	64.4	9.17
495	Fort St. James	20	CA	83	54.43	-124.25	1.64	1.99
496	Upernavik	8	GL	100	72.79	-56.15	8.44	5.86
497	Berdigestyakh	36	RU	0	62.1	126.7	-43.41	2.84
498	Tomatlan	88	MX	53	19.93	-105.25	78.77	3.74
499	Nanortalik	24	GL	93	60.14	-45.24	30.31	23.42
